2021-06-05 16:28:45 - TextLog: VERBOSE: Bouncer / OnItemDrop rejected from range check from Niki
2021-06-05 16:29:33 - TextLog: VERBOSE: GetDataHandlers / HandlePlayerBuffList handled event and sent data Niki
2021-06-05 16:29:41 - TextLog: VERBOSE: GetDataHandlers / HandlePlayerBuffList handled event and sent data Niki
2021-06-05 16:29:47 - TextLog: VERBOSE: Rangecheck failed for Niki (4246, 447) (rg: 36/32, 24/32)
2021-06-05 16:29:47 - TextLog: VERBOSE: Bouncer / OnItemDrop rejected from range check from Niki
2021-06-05 16:29:47 - TextLog: VERBOSE: Rangecheck failed for Niki (4246, 447) (rg: 36/32, 24/32)
2021-06-05 16:29:47 - TextLog: VERBOSE: Bouncer / OnItemDrop rejected from dupe range check from Niki
2021-06-05 16:30:07 - TextLog: VERBOSE: Rangecheck failed for Niki (4202, 448) (rg: 96/32, 23/32)
2021-06-05 16:30:07 - TextLog: VERBOSE: Bouncer / OnItemDrop rejected from range check from Niki
2021-06-05 16:30:09 - TextLog: VERBOSE: Rangecheck failed for Niki (4204, 448) (rg: 96/32, 23/32)
2021-06-05 16:30:09 - TextLog: VERBOSE: Bouncer / OnItemDrop rejected from range check from Niki
2021-06-05 16:30:09 - TextLog: VERBOSE: Rangecheck failed for Niki (4204, 448) (rg: 96/32, 23/32)
2021-06-05 16:30:09 - TextLog: VERBOSE: Bouncer / OnItemDrop rejected from range check from Niki
2021-06-05 16:30:09 - TextLog: VERBOSE: Rangecheck failed for Niki (4205, 448) (rg: 96/32, 23/32)
2021-06-05 16:30:09 - TextLog: VERBOSE: Bouncer / OnItemDrop rejected from range check from Niki
2021-06-05 16:30:13 - TextLog: VERBOSE: Rangecheck failed for Niki (4205, 448) (rg: 96/32, 23/32)
2021-06-05 16:30:13 - TextLog: VERBOSE: Bouncer / OnItemDrop rejected from range check from Niki
2021-06-05 16:30:51 - TextLog: VERBOSE: Rangecheck failed for Niki (4202, 448) (rg: 92/32, 27/32)
2021-06-05 16:30:51 - TextLog: VERBOSE: Bouncer / OnItemDrop rejected from range check from Niki
2021-06-05 16:30:51 - TextLog: VERBOSE: Rangecheck failed for Niki (4204, 448) (rg: 92/32, 27/32)
2021-06-05 16:30:51 - TextLog: VERBOSE: Bouncer / OnItemDrop rejected from range check from Niki
2021-06-05 16:30:51 - TextLog: VERBOSE: Rangecheck failed for Niki (4204, 448) (rg: 92/32, 27/32)
2021-06-05 16:30:51 - TextLog: VERBOSE: Bouncer / OnItemDrop rejected from range check from Niki
2021-06-05 16:30:51 - TextLog: VERBOSE: Rangecheck failed for Niki (4205, 448) (rg: 92/32, 27/32)
2021-06-05 16:30:51 - TextLog: VERBOSE: Bouncer / OnItemDrop rejected from range check from Niki
2021-06-05 16:30:51 - TextLog: VERBOSE: Rangecheck failed for Niki (4205, 448) (rg: 92/32, 27/32)
2021-06-05 16:30:51 - TextLog: VERBOSE: Bouncer / OnItemDrop rejected from range check from Niki
2021-06-05 16:30:52 - TextLog: VERBOSE: Rangecheck failed for Niki (4217, 494) (rg: 99/32, 20/32)
2021-06-05 16:30:52 - TextLog: VERBOSE: Bouncer / OnItemDrop rejected from range check from Niki
2021-06-05 16:30:52 - TextLog: VERBOSE: Rangecheck failed for Niki (4217, 494) (rg: 99/32, 20/32)
2021-06-05 16:30:52 - TextLog: VERBOSE: Bouncer / OnItemDrop rejected from range check from Niki
2021-06-05 16:30:52 - TextLog: VERBOSE: Rangecheck failed for Niki (4217, 494) (rg: 100/32, 21/32)
2021-06-05 16:30:52 - TextLog: VERBOSE: Bouncer / OnItemDrop rejected from range check from Niki
2021-06-05 16:30:52 - TextLog: VERBOSE: Rangecheck failed for Niki (4221, 485) (rg: 106/32, 14/32)
2021-06-05 16:30:52 - TextLog: VERBOSE: Bouncer / OnItemDrop rejected from range check from Niki
2021-06-05 16:30:52 - TextLog: VERBOSE: Rangecheck failed for Niki (4234, 494) (rg: 97/32, 24/32)
2021-06-05 16:30:52 - TextLog: VERBOSE: Bouncer / OnItemDrop rejected from range check from Niki
2021-06-05 16:30:52 - TextLog: VERBOSE: Rangecheck failed for Niki (4235, 494) (rg: 96/32, 24/32)
2021-06-05 16:30:52 - TextLog: VERBOSE: Bouncer / OnItemDrop rejected from range check from Niki
2021-06-05 16:30:52 - TextLog: VERBOSE: Rangecheck failed for Niki (4238, 494) (rg: 96/32, 23/32)
2021-06-05 16:30:52 - TextLog: VERBOSE: Bouncer / OnItemDrop rejected from range check from Niki
2021-06-05 16:30:52 - TextLog: VERBOSE: Rangecheck failed for Niki (4241, 448) (rg: 96/32, 23/32)
